log_id,transaction_id,settlement_id,gateway,event_type,status,timestamp,response_code,message
GWL-00001,TXN-10001,SET-001,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-24 08:27:00,200,Payment request received by gateway
GWL-00002,TXN-10001,SET-001,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-24 08:27:42,201,Payment authorized by acquirer
GWL-00003,TXN-10002,SET-001,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-24 08:30:00,200,Payment request received by gateway
GWL-00004,TXN-10002,SET-001,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-24 08:30:17,201,Payment authorized by acquirer
GWL-00005,TXN-10003,SET-001,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-24 08:32:00,200,Payment request received by gateway
GWL-00006,TXN-10003,SET-001,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-24 08:32:19,201,Payment authorized by acquirer
GWL-00007,TXN-10004,SET-001,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-24 09:35:00,200,Payment request received by gateway
GWL-00008,TXN-10004,SET-001,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-24 09:35:30,201,Payment authorized by acquirer
GWL-00009,TXN-10005,,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-24 11:23:00,200,Payment request received by gateway
GWL-00010,TXN-10005,,DemoPay,PAYMENT_FAILED,FAILED,2026-08-24 11:23:06,400,Invalid CVV in payment request
GWL-00011,TXN-10006,SET-001,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-24 11:43:00,200,Payment request received by gateway
GWL-00012,TXN-10006,SET-001,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-24 11:43:20,201,Payment authorized by acquirer
GWL-00013,TXN-10007,SET-001,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-24 11:58:00,200,Payment request received by gateway
GWL-00014,TXN-10007,SET-001,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-24 11:58:17,201,Payment authorized by acquirer
GWL-00015,TXN-10008,SET-001,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-24 16:37:00,200,Payment request received by gateway
GWL-00016,TXN-10008,SET-001,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-24 16:37:19,201,Payment authorized by acquirer
GWL-00017,TXN-10009,SET-001,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-24 17:18:00,200,Payment request received by gateway
GWL-00018,TXN-10009,SET-001,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-24 17:18:23,201,Payment authorized by acquirer
GWL-00019,TXN-10010,SET-001,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-24 17:34:00,200,Payment request received by gateway
GWL-00020,TXN-10010,SET-001,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-24 17:34:22,201,Payment authorized by acquirer
GWL-00021,TXN-10011,SET-001,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-24 18:16:00,200,Payment request received by gateway
GWL-00022,TXN-10011,SET-001,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-24 18:16:36,201,Payment authorized by acquirer
GWL-00023,TXN-10012,SET-001,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-24 19:05:00,200,Payment request received by gateway
GWL-00024,TXN-10012,SET-001,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-24 19:05:07,201,Payment authorized by acquirer
GWL-00025,TXN-10013,SET-001,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-24 19:58:00,200,Payment request received by gateway
GWL-00026,TXN-10013,SET-001,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-24 19:58:10,201,Payment authorized by acquirer
GWL-00027,,SET-001,DemoPay,SETTLEMENT_CREATED,CREATED,2026-08-24 22:05:00,201,Settlement batch created from 12 authorized transactions
GWL-00028,,SET-001,DemoPay,SETTLEMENT_SUBMITTED,SUBMITTED,2026-08-24 22:30:00,200,Settlement file submitted to bank for payout
GWL-00029,TXN-10014,SET-002,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-25 09:43:00,200,Payment request received by gateway
GWL-00030,TXN-10014,SET-002,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-25 09:43:11,201,Payment authorized by acquirer
GWL-00031,TXN-10015,,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-25 10:46:00,200,Payment request received by gateway
GWL-00032,TXN-10015,,DemoPay,PAYMENT_FAILED,FAILED,2026-08-25 10:46:16,402,Insufficient balance on customer card
GWL-00033,TXN-10016,SET-002,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-25 11:34:00,200,Payment request received by gateway
GWL-00034,TXN-10016,SET-002,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-25 11:34:11,201,Payment authorized by acquirer
GWL-00035,TXN-10017,SET-002,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-25 11:58:00,200,Payment request received by gateway
GWL-00036,TXN-10017,SET-002,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-25 11:58:15,201,Payment authorized by acquirer
GWL-00037,TXN-10018,SET-002,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-25 12:44:00,200,Payment request received by gateway
GWL-00038,TXN-10018,SET-002,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-25 12:44:06,201,Payment authorized by acquirer
GWL-00039,TXN-10019,SET-002,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-25 14:03:00,200,Payment request received by gateway
GWL-00040,TXN-10019,SET-002,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-25 14:03:28,201,Payment authorized by acquirer
GWL-00041,TXN-10020,SET-002,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-25 14:13:00,200,Payment request received by gateway
GWL-00042,TXN-10020,SET-002,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-25 14:13:28,201,Payment authorized by acquirer
GWL-00043,TXN-10021,SET-002,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-25 14:19:00,200,Payment request received by gateway
GWL-00044,TXN-10021,SET-002,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-25 14:19:23,201,Payment authorized by acquirer
GWL-00045,TXN-10022,SET-002,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-25 14:29:00,200,Payment request received by gateway
GWL-00046,TXN-10022,SET-002,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-25 14:29:36,201,Payment authorized by acquirer
GWL-00047,TXN-10023,SET-002,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-25 15:44:00,200,Payment request received by gateway
GWL-00048,TXN-10023,SET-002,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-25 15:44:31,201,Payment authorized by acquirer
GWL-00049,TXN-10024,SET-002,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-25 18:50:00,200,Payment request received by gateway
GWL-00050,TXN-10024,SET-002,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-25 18:50:28,201,Payment authorized by acquirer
GWL-00051,,SET-002,DemoPay,SETTLEMENT_CREATED,CREATED,2026-08-25 22:05:00,201,Settlement batch created from 10 authorized transactions
GWL-00052,,SET-002,DemoPay,SETTLEMENT_SUBMITTED,SUBMITTED,2026-08-25 22:30:00,200,Settlement file submitted to bank for payout
GWL-00053,TXN-10025,SET-003,PayFlux,PAYMENT_RECEIVED,RECEIVED,2026-08-26 10:22:00,200,Payment request received by gateway
GWL-00054,TXN-10025,SET-003,PayFlux,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-26 10:22:05,201,Payment authorized by acquirer
GWL-00055,TXN-10026,SET-003,PayFlux,PAYMENT_RECEIVED,RECEIVED,2026-08-26 10:26:00,200,Payment request received by gateway
GWL-00056,TXN-10026,SET-003,PayFlux,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-26 10:26:15,201,Payment authorized by acquirer
GWL-00057,TXN-10027,SET-003,PayFlux,PAYMENT_RECEIVED,RECEIVED,2026-08-26 12:12:00,200,Payment request received by gateway
GWL-00058,TXN-10027,SET-003,PayFlux,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-26 12:12:28,201,Payment authorized by acquirer
GWL-00059,TXN-10028,SET-003,PayFlux,PAYMENT_RECEIVED,RECEIVED,2026-08-26 12:31:00,200,Payment request received by gateway
GWL-00060,TXN-10028,SET-003,PayFlux,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-26 12:31:26,201,Payment authorized by acquirer
GWL-00061,TXN-10029,SET-003,PayFlux,PAYMENT_RECEIVED,RECEIVED,2026-08-26 14:45:00,200,Payment request received by gateway
GWL-00062,TXN-10029,SET-003,PayFlux,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-26 14:45:39,201,Payment authorized by acquirer
GWL-00063,TXN-10030,SET-003,PayFlux,PAYMENT_RECEIVED,RECEIVED,2026-08-26 15:49:00,200,Payment request received by gateway
GWL-00064,TXN-10030,SET-003,PayFlux,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-26 15:49:03,201,Payment authorized by acquirer
GWL-00065,TXN-10031,SET-003,PayFlux,PAYMENT_RECEIVED,RECEIVED,2026-08-26 17:11:00,200,Payment request received by gateway
GWL-00066,TXN-10031,SET-003,PayFlux,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-26 17:11:38,201,Payment authorized by acquirer
GWL-00067,TXN-10032,SET-003,PayFlux,PAYMENT_RECEIVED,RECEIVED,2026-08-26 17:34:00,200,Payment request received by gateway
GWL-00068,TXN-10032,SET-003,PayFlux,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-26 17:34:26,201,Payment authorized by acquirer
GWL-00069,TXN-10033,SET-003,PayFlux,PAYMENT_RECEIVED,RECEIVED,2026-08-26 18:58:00,200,Payment request received by gateway
GWL-00070,TXN-10033,SET-003,PayFlux,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-26 18:58:32,201,Payment authorized by acquirer
GWL-00071,,SET-003,PayFlux,SETTLEMENT_CREATED,CREATED,2026-08-26 22:05:00,201,Settlement batch created from 9 authorized transactions
GWL-00072,,SET-003,PayFlux,SETTLEMENT_SUBMITTED,SUBMITTED,2026-08-26 22:30:00,200,Settlement file submitted to bank for payout
GWL-00073,TXN-10034,SET-004,PayFlux,PAYMENT_RECEIVED,RECEIVED,2026-08-27 09:54:00,200,Payment request received by gateway
GWL-00074,TXN-10034,SET-004,PayFlux,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-27 09:54:02,201,Payment authorized by acquirer
GWL-00075,TXN-10035,SET-004,PayFlux,PAYMENT_RECEIVED,RECEIVED,2026-08-27 09:57:00,200,Payment request received by gateway
GWL-00076,TXN-10035,SET-004,PayFlux,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-27 09:57:24,201,Payment authorized by acquirer
GWL-00077,TXN-10036,SET-004,PayFlux,PAYMENT_RECEIVED,RECEIVED,2026-08-27 12:33:00,200,Payment request received by gateway
GWL-00078,TXN-10036,SET-004,PayFlux,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-27 12:33:21,201,Payment authorized by acquirer
GWL-00079,TXN-10037,SET-004,PayFlux,PAYMENT_RECEIVED,RECEIVED,2026-08-27 13:00:00,200,Payment request received by gateway
GWL-00080,TXN-10037,SET-004,PayFlux,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-27 13:00:26,201,Payment authorized by acquirer
GWL-00081,TXN-10038,SET-004,PayFlux,PAYMENT_RECEIVED,RECEIVED,2026-08-27 13:48:00,200,Payment request received by gateway
GWL-00082,TXN-10038,SET-004,PayFlux,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-27 13:48:28,201,Payment authorized by acquirer
GWL-00083,TXN-10039,SET-004,PayFlux,PAYMENT_RECEIVED,RECEIVED,2026-08-27 17:09:00,200,Payment request received by gateway
GWL-00084,TXN-10039,SET-004,PayFlux,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-27 17:09:36,201,Payment authorized by acquirer
GWL-00085,TXN-10040,SET-004,PayFlux,PAYMENT_RECEIVED,RECEIVED,2026-08-27 18:56:00,200,Payment request received by gateway
GWL-00086,TXN-10040,SET-004,PayFlux,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-27 18:56:36,201,Payment authorized by acquirer
GWL-00087,TXN-10041,,PayFlux,PAYMENT_RECEIVED,RECEIVED,2026-08-27 19:36:00,200,Payment request received by gateway
GWL-00088,TXN-10041,,PayFlux,PAYMENT_FAILED,FAILED,2026-08-27 19:36:40,402,Card declined by issuing bank
GWL-00089,TXN-10042,SET-004,PayFlux,PAYMENT_RECEIVED,RECEIVED,2026-08-27 19:38:00,200,Payment request received by gateway
GWL-00090,TXN-10042,SET-004,PayFlux,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-27 19:38:33,201,Payment authorized by acquirer
GWL-00091,,SET-004,PayFlux,SETTLEMENT_CREATED,CREATED,2026-08-27 22:05:00,201,Settlement batch created from 8 authorized transactions
GWL-00092,,SET-004,PayFlux,SETTLEMENT_SUBMITTED,SUBMITTED,2026-08-27 22:30:00,200,Settlement file submitted to bank for payout
GWL-00093,TXN-10043,SET-005,QuickSettle,PAYMENT_RECEIVED,RECEIVED,2026-08-28 08:59:00,200,Payment request received by gateway
GWL-00094,TXN-10043,SET-005,QuickSettle,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-28 08:59:16,201,Payment authorized by acquirer
GWL-00095,TXN-10044,SET-005,QuickSettle,PAYMENT_RECEIVED,RECEIVED,2026-08-28 09:10:00,200,Payment request received by gateway
GWL-00096,TXN-10044,SET-005,QuickSettle,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-28 09:10:19,201,Payment authorized by acquirer
GWL-00097,TXN-10045,SET-005,QuickSettle,PAYMENT_RECEIVED,RECEIVED,2026-08-28 09:20:00,200,Payment request received by gateway
GWL-00098,TXN-10045,SET-005,QuickSettle,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-28 09:20:29,201,Payment authorized by acquirer
GWL-00099,TXN-10046,,QuickSettle,PAYMENT_RECEIVED,RECEIVED,2026-08-28 09:27:00,200,Payment request received by gateway
GWL-00100,TXN-10046,,QuickSettle,PAYMENT_FAILED,FAILED,2026-08-28 09:27:33,402,Card declined by issuing bank
GWL-00101,TXN-10047,SET-005,QuickSettle,PAYMENT_RECEIVED,RECEIVED,2026-08-28 10:08:00,200,Payment request received by gateway
GWL-00102,TXN-10047,SET-005,QuickSettle,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-28 10:08:26,201,Payment authorized by acquirer
GWL-00103,TXN-10048,SET-005,QuickSettle,PAYMENT_RECEIVED,RECEIVED,2026-08-28 10:11:00,200,Payment request received by gateway
GWL-00104,TXN-10048,SET-005,QuickSettle,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-28 10:11:23,201,Payment authorized by acquirer
GWL-00105,TXN-10049,SET-005,QuickSettle,PAYMENT_RECEIVED,RECEIVED,2026-08-28 12:06:00,200,Payment request received by gateway
GWL-00106,TXN-10049,SET-005,QuickSettle,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-28 12:06:44,201,Payment authorized by acquirer
GWL-00107,TXN-10050,SET-005,QuickSettle,PAYMENT_RECEIVED,RECEIVED,2026-08-28 16:06:00,200,Payment request received by gateway
GWL-00108,TXN-10050,SET-005,QuickSettle,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-28 16:06:45,201,Payment authorized by acquirer
