ledger_id,settlement_id,merchant_id,entry_type,amount,debit,credit,balance,status,timestamp,description
LED-0001,SET-001,MER-001,SETTLEMENT_CREDIT,11536.68,0.00,11536.68,11536.68,POSTED,2026-08-24 22:10:00,Settlement amount payable to merchant
LED-0002,SET-001,MER-001,SETTLEMENT_DEBIT,11536.68,11536.68,0.00,0.00,POSTED,2026-08-25 10:30:00,Payout transferred to merchant bank account
LED-0003,SET-002,MER-002,SETTLEMENT_CREDIT,16975.45,0.00,16975.45,16975.45,POSTED,2026-08-25 22:10:00,Settlement amount payable to merchant
LED-0004,SET-002,MER-002,SETTLEMENT_DEBIT,16975.45,16975.45,0.00,0.00,POSTED,2026-08-26 10:30:00,Payout transferred to merchant bank account
LED-0005,SET-004,MER-004,SETTLEMENT_CREDIT,23654.69,0.00,23654.69,23654.69,POSTED,2026-08-27 22:10:00,Settlement amount payable to merchant
LED-0006,SET-004,MER-004,SETTLEMENT_DEBIT,25154.69,25154.69,0.00,-1500.00,POSTED,2026-08-28 10:30:00,Payout transferred to merchant bank account
LED-0007,SET-005,MER-005,SETTLEMENT_CREDIT,20543.95,0.00,20543.95,20543.95,POSTED,2026-08-28 22:10:00,Settlement amount payable to merchant
LED-0008,SET-005,MER-005,SETTLEMENT_DEBIT,20543.95,20543.95,0.00,0.00,REVERSED,2026-08-29 10:30:00,Payout attempt to merchant bank account
LED-0009,SET-005,MER-005,REVERSAL,20543.95,0.00,20543.95,20543.95,POSTED,2026-08-29 11:15:00,Payout reversed after bank rejection; amount still payable
LED-0010,SET-006,MER-001,SETTLEMENT_CREDIT,8014.30,0.00,8014.30,8014.30,PENDING,2026-08-29 22:10:00,Settlement amount payable to merchant
LED-0011,SET-007,MER-002,SETTLEMENT_CREDIT,24919.04,0.00,24919.04,24919.04,POSTED,2026-08-30 22:10:00,Settlement amount payable to merchant
LED-0012,SET-008,MER-006,SETTLEMENT_CREDIT,2508.30,0.00,2508.30,2508.30,ON_HOLD,2026-08-30 22:10:00,Settlement amount payable to merchant
LED-0013,SET-007,MER-002,SETTLEMENT_DEBIT,14951.42,14951.42,0.00,9967.62,PARTIAL,2026-08-31 10:30:00,Partial payout transferred; remainder still payable
LED-0014,SET-009,MER-003,SETTLEMENT_CREDIT,115035.81,0.00,115035.81,115035.81,FAILED,2026-08-31 22:10:00,Settlement amount payable to merchant
LED-0015,SET-010,MER-004,SETTLEMENT_CREDIT,51199.96,0.00,51199.96,49699.96,POSTED,2026-09-01 22:10:00,Settlement amount payable to merchant
LED-0016,SET-011,MER-005,SETTLEMENT_CREDIT,16859.41,0.00,16859.41,37403.36,POSTED,2026-09-01 22:10:00,Settlement amount payable to merchant
LED-0017,SET-010,MER-004,SETTLEMENT_DEBIT,51199.96,51199.96,0.00,-1500.00,POSTED,2026-09-02 10:30:00,Payout transferred to merchant bank account
LED-0018,SET-011,MER-005,SETTLEMENT_DEBIT,16859.41,16859.41,0.00,20543.95,REVERSED,2026-09-02 10:30:00,Payout attempt to merchant bank account
LED-0019,SET-011,MER-005,REVERSAL,16859.41,0.00,16859.41,37403.36,POSTED,2026-09-02 11:15:00,Payout reversed after bank rejection; amount still payable
LED-0020,SET-012,MER-006,SETTLEMENT_CREDIT,3608.10,0.00,3608.10,6116.40,PENDING,2026-09-02 22:10:00,Settlement amount payable to merchant
LED-0021,SET-013,MER-001,SETTLEMENT_CREDIT,4669.71,0.00,4669.71,12684.01,POSTED,2026-09-02 22:10:00,Settlement amount payable to merchant
LED-0022,SET-013,MER-001,SETTLEMENT_DEBIT,4669.71,4669.71,0.00,8014.30,POSTED,2026-09-03 10:30:00,Payout transferred to merchant bank account
LED-0023,SET-014,MER-002,SETTLEMENT_CREDIT,28804.55,0.00,28804.55,38772.17,POSTED,2026-09-03 22:10:00,Settlement amount payable to merchant
LED-0024,SET-014,MER-002,SETTLEMENT_DEBIT,28804.55,28804.55,0.00,9967.62,POSTED,2026-09-04 10:30:00,Payout transferred to merchant bank account
LED-0025,SET-014,MER-002,ADJUSTMENT,250.00,250.00,0.00,9717.62,POSTED,2026-09-04 11:00:00,Platform fee charged after payout
