settlement_id,merchant_id,settlement_date,total_amount,currency,settlement_status,expected_payout_date,actual_payout_date,bank_reference,failure_reason
SET-001,MER-001,2026-08-24 22:05:00,11536.68,INR,SUCCESS,2026-08-25,2026-08-25,BANK-001,
SET-002,MER-002,2026-08-25 22:05:00,16975.45,INR,SUCCESS,2026-08-26,2026-08-26,BANK-002,
SET-003,MER-003,2026-08-26 22:05:00,111116.03,INR,SUCCESS,2026-08-27,2026-08-27,BANK-003,
SET-004,MER-004,2026-08-27 22:05:00,25154.69,INR,SUCCESS,2026-08-28,2026-08-28,BANK-004,
SET-005,MER-005,2026-08-28 22:05:00,20543.95,INR,FAILED,2026-08-29,,BANK-005,BANK_REJECTED
SET-006,MER-001,2026-08-29 22:05:00,8014.30,INR,PROCESSING,2026-08-30,,BANK-006,AWAITING_BANK_CONFIRMATION
SET-007,MER-002,2026-08-30 22:05:00,24919.04,INR,PARTIAL,2026-08-31,2026-08-31,BANK-007,PARTIAL_TRANSFER
SET-008,MER-006,2026-08-30 22:05:00,2508.30,USD,ON_HOLD,2026-08-31,,,COMPLIANCE_REVIEW
SET-009,MER-003,2026-08-31 22:05:00,115035.81,INR,FAILED,2026-09-01,,,GATEWAY_ERROR
SET-010,MER-004,2026-09-01 22:05:00,51199.96,INR,SUCCESS,2026-09-02,2026-09-02,BANK-010,
SET-011,MER-005,2026-09-01 22:05:00,16859.41,INR,FAILED,2026-09-02,,BANK-011,INVALID_BANK_ACCOUNT
SET-012,MER-006,2026-09-02 22:05:00,3608.10,USD,PROCESSING,2026-09-03,,BANK-012,BANK_TIMEOUT
SET-013,MER-001,2026-09-02 22:05:00,4669.71,INR,SUCCESS,2026-09-03,2026-09-03,BANK-013,
SET-014,MER-002,2026-09-03 22:05:00,28804.55,INR,SUCCESS,2026-09-04,2026-09-04,BANK-014,
