transaction_id,merchant_id,customer_id,amount,currency,gateway,transaction_status,transaction_time,settlement_id
TXN-10001,MER-001,CUS-029,842.21,INR,DemoPay,SUCCESS,2026-08-24 08:27:00,SET-001
TXN-10002,MER-001,CUS-052,1122.29,INR,DemoPay,SUCCESS,2026-08-24 08:30:00,SET-001
TXN-10003,MER-001,CUS-049,1584.35,INR,DemoPay,SUCCESS,2026-08-24 08:32:00,SET-001
TXN-10004,MER-001,CUS-045,1479.60,INR,DemoPay,SUCCESS,2026-08-24 09:35:00,SET-001
TXN-10005,MER-001,CUS-018,847.31,INR,DemoPay,FAILED,2026-08-24 11:23:00,
TXN-10006,MER-001,CUS-049,406.54,INR,DemoPay,SUCCESS,2026-08-24 11:43:00,SET-001
TXN-10007,MER-001,CUS-006,705.38,INR,DemoPay,SUCCESS,2026-08-24 11:58:00,SET-001
TXN-10008,MER-001,CUS-023,776.88,INR,DemoPay,SUCCESS,2026-08-24 16:37:00,SET-001
TXN-10009,MER-001,CUS-039,1548.37,INR,DemoPay,SUCCESS,2026-08-24 17:18:00,SET-001
TXN-10010,MER-001,CUS-003,586.46,INR,DemoPay,SUCCESS,2026-08-24 17:34:00,SET-001
TXN-10011,MER-001,CUS-035,1354.06,INR,DemoPay,SUCCESS,2026-08-24 18:16:00,SET-001
TXN-10012,MER-001,CUS-060,355.96,INR,DemoPay,SUCCESS,2026-08-24 19:05:00,SET-001
TXN-10013,MER-001,CUS-036,774.58,INR,DemoPay,SUCCESS,2026-08-24 19:58:00,SET-001
TXN-10014,MER-002,CUS-045,3114.74,INR,DemoPay,SUCCESS,2026-08-25 09:43:00,SET-002
TXN-10015,MER-002,CUS-042,4233.95,INR,DemoPay,FAILED,2026-08-25 10:46:00,
TXN-10016,MER-002,CUS-041,599.89,INR,DemoPay,SUCCESS,2026-08-25 11:34:00,SET-002
TXN-10017,MER-002,CUS-047,1018.78,INR,DemoPay,SUCCESS,2026-08-25 11:58:00,SET-002
TXN-10018,MER-002,CUS-030,1328.21,INR,DemoPay,SUCCESS,2026-08-25 12:44:00,SET-002
TXN-10019,MER-002,CUS-060,1893.71,INR,DemoPay,SUCCESS,2026-08-25 14:03:00,SET-002
TXN-10020,MER-002,CUS-036,2988.00,INR,DemoPay,SUCCESS,2026-08-25 14:13:00,SET-002
TXN-10021,MER-002,CUS-021,1222.38,INR,DemoPay,SUCCESS,2026-08-25 14:19:00,SET-002
TXN-10022,MER-002,CUS-050,3839.98,INR,DemoPay,SUCCESS,2026-08-25 14:29:00,SET-002
TXN-10023,MER-002,CUS-053,534.94,INR,DemoPay,SUCCESS,2026-08-25 15:44:00,SET-002
TXN-10024,MER-002,CUS-021,434.82,INR,DemoPay,SUCCESS,2026-08-25 18:50:00,SET-002
TXN-10025,MER-003,CUS-038,7715.99,INR,PayFlux,SUCCESS,2026-08-26 10:22:00,SET-003
TXN-10026,MER-003,CUS-038,11825.16,INR,PayFlux,SUCCESS,2026-08-26 10:26:00,SET-003
TXN-10027,MER-003,CUS-015,11105.13,INR,PayFlux,SUCCESS,2026-08-26 12:12:00,SET-003
TXN-10028,MER-003,CUS-009,25933.68,INR,PayFlux,SUCCESS,2026-08-26 12:31:00,SET-003
TXN-10029,MER-003,CUS-006,13836.25,INR,PayFlux,SUCCESS,2026-08-26 14:45:00,SET-003
TXN-10030,MER-003,CUS-056,19943.40,INR,PayFlux,SUCCESS,2026-08-26 15:49:00,SET-003
TXN-10031,MER-003,CUS-041,3919.30,INR,PayFlux,SUCCESS,2026-08-26 17:11:00,SET-003
TXN-10032,MER-003,CUS-044,5167.55,INR,PayFlux,SUCCESS,2026-08-26 17:34:00,SET-003
TXN-10033,MER-003,CUS-005,11669.57,INR,PayFlux,SUCCESS,2026-08-26 18:58:00,SET-003
TXN-10034,MER-004,CUS-030,3543.36,INR,PayFlux,SUCCESS,2026-08-27 09:54:00,SET-004
TXN-10035,MER-004,CUS-047,522.72,INR,PayFlux,SUCCESS,2026-08-27 09:57:00,SET-004
TXN-10036,MER-004,CUS-017,6630.97,INR,PayFlux,SUCCESS,2026-08-27 12:33:00,SET-004
TXN-10037,MER-004,CUS-049,7303.22,INR,PayFlux,SUCCESS,2026-08-27 13:00:00,SET-004
TXN-10038,MER-004,CUS-059,1750.56,INR,PayFlux,SUCCESS,2026-08-27 13:48:00,SET-004
TXN-10039,MER-004,CUS-041,1244.88,INR,PayFlux,SUCCESS,2026-08-27 17:09:00,SET-004
TXN-10040,MER-004,CUS-041,2589.11,INR,PayFlux,SUCCESS,2026-08-27 18:56:00,SET-004
TXN-10041,MER-004,CUS-013,4053.64,INR,PayFlux,FAILED,2026-08-27 19:36:00,
TXN-10042,MER-004,CUS-049,1569.87,INR,PayFlux,SUCCESS,2026-08-27 19:38:00,SET-004
TXN-10043,MER-005,CUS-011,3034.70,INR,QuickSettle,SUCCESS,2026-08-28 08:59:00,SET-005
TXN-10044,MER-005,CUS-056,914.33,INR,QuickSettle,SUCCESS,2026-08-28 09:10:00,SET-005
TXN-10045,MER-005,CUS-014,1976.51,INR,QuickSettle,SUCCESS,2026-08-28 09:20:00,SET-005
TXN-10046,MER-005,CUS-049,2978.92,INR,QuickSettle,FAILED,2026-08-28 09:27:00,
TXN-10047,MER-005,CUS-013,2360.09,INR,QuickSettle,SUCCESS,2026-08-28 10:08:00,SET-005
TXN-10048,MER-005,CUS-026,2307.27,INR,QuickSettle,SUCCESS,2026-08-28 10:11:00,SET-005
TXN-10049,MER-005,CUS-042,3184.91,INR,QuickSettle,SUCCESS,2026-08-28 12:06:00,SET-005
TXN-10050,MER-005,CUS-058,1251.34,INR,QuickSettle,SUCCESS,2026-08-28 16:06:00,SET-005
TXN-10051,MER-005,CUS-008,1699.66,INR,QuickSettle,SUCCESS,2026-08-28 16:17:00,SET-005
TXN-10052,MER-005,CUS-005,860.99,INR,QuickSettle,SUCCESS,2026-08-28 17:05:00,SET-005
TXN-10053,MER-005,CUS-038,1141.45,INR,QuickSettle,SUCCESS,2026-08-28 17:40:00,SET-005
TXN-10054,MER-005,CUS-038,1812.70,INR,QuickSettle,SUCCESS,2026-08-28 19:15:00,SET-005
TXN-10055,MER-001,CUS-057,1343.53,INR,DemoPay,PENDING,2026-08-29 09:12:00,
TXN-10056,MER-001,CUS-031,1092.22,INR,DemoPay,SUCCESS,2026-08-29 10:15:00,SET-006
TXN-10057,MER-001,CUS-031,550.95,INR,DemoPay,SUCCESS,2026-08-29 11:39:00,SET-006
TXN-10058,MER-001,CUS-013,1482.37,INR,DemoPay,SUCCESS,2026-08-29 12:03:00,SET-006
TXN-10059,MER-001,CUS-043,305.64,INR,DemoPay,SUCCESS,2026-08-29 12:45:00,SET-006
