transaction_id,timestamp,event,code,detail
TXN_OK_162,2026-09-03T08:20:04.000Z,REQUEST_SENT,,Settlement instruction transmitted
TXN_OK_162,2026-09-03T08:20:07.000Z,ACK_RECEIVED,BNK_ACK,Bank acknowledged instruction
TXN_OK_162,2026-09-03T08:21:17.000Z,SETTLED,BNK_SETTLED,Funds debited and settled
TXN_LD_138,2026-09-03T11:08:04.000Z,REQUEST_SENT,,Settlement instruction transmitted
TXN_LD_138,2026-09-03T11:08:07.000Z,ACK_RECEIVED,BNK_ACK,Bank acknowledged instruction
TXN_LD_138,2026-09-03T11:08:39.000Z,SETTLED,BNK_SETTLED,Funds debited and settled
TXN_PD_130,2026-09-03T11:57:04.000Z,REQUEST_SENT,,Settlement instruction transmitted
TXN_PD_130,2026-09-03T11:57:07.000Z,ACK_RECEIVED,BNK_ACK,Bank acknowledged instruction
TXN_PD_130,2026-09-03T11:57:41.000Z,PROCESSING_DELAYED,BNK_QUEUE_BACKLOG,Processor reported batch queue backlog
TXN_PD_130,2026-09-03T11:59:15.000Z,SETTLED,BNK_SETTLED,Funds debited and settled
TXN_BT_112,2026-09-03T15:05:04.000Z,REQUEST_SENT,,Settlement instruction transmitted
TXN_BT_112,2026-09-03T15:05:34.000Z,NO_RESPONSE,,No acknowledgement within 30s window
TXN_BT_108,2026-09-03T15:07:04.000Z,REQUEST_SENT,,Settlement instruction transmitted
TXN_BT_108,2026-09-03T15:07:34.000Z,NO_RESPONSE,,No acknowledgement within 30s window
TXN_BT_112,2026-09-03T15:08:31.000Z,ACK_RECEIVED,BNK_ACK,Late acknowledgement received
TXN_BT_112,2026-09-03T15:08:37.000Z,SETTLED,BNK_SETTLED,Funds debited and settled
TXN_BT_108,2026-09-03T15:09:53.000Z,ACK_RECEIVED,BNK_ACK,Late acknowledgement received
TXN_BT_108,2026-09-03T15:09:59.000Z,SETTLED,BNK_SETTLED,Funds debited and settled
TXN_LD_144,2026-09-03T15:39:04.000Z,REQUEST_SENT,,Settlement instruction transmitted
TXN_LD_144,2026-09-03T15:39:07.000Z,ACK_RECEIVED,BNK_ACK,Bank acknowledged instruction
