transaction_id,timestamp,event,code,detail
TXN_OK_162,2026-09-03T08:20:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_OK_162,2026-09-03T08:20:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_GF_150,2026-09-03T09:01:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request received
TXN_GF_150,2026-09-03T09:01:01.000Z,VALIDATION_FAILED,GW_INVALID_BENEFICIARY,Beneficiary IFSC failed checksum validation
TXN_LD_138,2026-09-03T11:08:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_LD_138,2026-09-03T11:08:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_GF_151,2026-09-03T11:24:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request received
TXN_GF_151,2026-09-03T11:24:02.000Z,VALIDATION_FAILED,GW_INVALID_BENEFICIARY,Beneficiary IFSC failed checksum validation
TXN_PD_130,2026-09-03T11:57:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_PD_130,2026-09-03T11:57:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_BT_112,2026-09-03T15:05:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_BT_112,2026-09-03T15:05:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_BT_108,2026-09-03T15:07:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_BT_108,2026-09-03T15:07:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_LD_144,2026-09-03T15:39:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_LD_144,2026-09-03T15:39:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_BT_120,2026-09-03T17:09:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_BT_120,2026-09-03T17:09:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_OK_160,2026-09-03T17:32:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_OK_160,2026-09-03T17:32:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_GF_148,2026-09-03T18:21:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request received
TXN_GF_148,2026-09-03T18:21:02.000Z,VALIDATION_FAILED,GW_LIMIT_EXCEEDED,Merchant per-transaction limit exceeded
TXN_BT_113,2026-09-03T19:22:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_BT_113,2026-09-03T19:22:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_GF_153,2026-09-03T20:01:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request received
TXN_GF_153,2026-09-03T20:01:03.000Z,VALIDATION_FAILED,GW_INVALID_BENEFICIARY,Beneficiary IFSC failed checksum validation
TXN_BT_105,2026-09-03T20:24:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_BT_105,2026-09-03T20:24:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_LD_143,2026-09-03T20:26:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_LD_143,2026-09-03T20:26:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_LD_140,2026-09-03T20:33:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_LD_140,2026-09-03T20:33:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_PD_127,2026-09-03T20:50:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_PD_127,2026-09-03T20:50:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_OK_176,2026-09-03T20:55:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_OK_176,2026-09-03T20:55:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_BT_101,2026-09-03T21:28:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_BT_101,2026-09-03T21:28:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_OK_181,2026-09-03T22:23:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_OK_181,2026-09-03T22:23:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_LD_145,2026-09-03T22:46:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_LD_145,2026-09-03T22:46:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_LD_141,2026-09-03T22:47:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_LD_141,2026-09-03T22:47:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_PD_129,2026-09-03T23:29:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_PD_129,2026-09-03T23:29:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_BT_106,2026-09-03T23:35:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_BT_106,2026-09-03T23:35:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_GF_155,2026-09-03T23:47:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request received
TXN_GF_155,2026-09-03T23:47:03.000Z,VALIDATION_FAILED,GW_LIMIT_EXCEEDED,Merchant per-transaction limit exceeded
TXN_OK_175,2026-09-04T00:23:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_OK_175,2026-09-04T00:23:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_PD_132,2026-09-04T01:12:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_PD_132,2026-09-04T01:12:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_OK_173,2026-09-04T01:37:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_OK_173,2026-09-04T01:37:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_PD_137,2026-09-04T01:55:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_PD_137,2026-09-04T01:55:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_BT_103,2026-09-04T04:11:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_BT_103,2026-09-04T04:11:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_BT_121,2026-09-04T04:25:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_BT_121,2026-09-04T04:25:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_BT_102,2026-09-04T06:09:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_BT_102,2026-09-04T06:09:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_BT_123,2026-09-04T07:20:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_BT_123,2026-09-04T07:20:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_OK_177,2026-09-04T07:55:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_OK_177,2026-09-04T07:55:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_PD_135,2026-09-04T08:17:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_PD_135,2026-09-04T08:17:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_BT_119,2026-09-04T09:22:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_BT_119,2026-09-04T09:22:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_GF_157,2026-09-04T10:34:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request received
TXN_GF_157,2026-09-04T10:34:01.000Z,VALIDATION_FAILED,GW_KYC_INCOMPLETE,Merchant KYC record incomplete
TXN_BT_118,2026-09-04T10:45:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_BT_118,2026-09-04T10:45:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_OK_164,2026-09-04T10:51:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_OK_164,2026-09-04T10:51:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_GF_156,2026-09-04T11:52:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request received
TXN_GF_156,2026-09-04T11:52:02.000Z,VALIDATION_FAILED,GW_INVALID_BENEFICIARY,Beneficiary IFSC failed checksum validation
TXN_PD_128,2026-09-04T12:02:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_PD_128,2026-09-04T12:02:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_BT_107,2026-09-04T12:35:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_BT_107,2026-09-04T12:35:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_OK_172,2026-09-04T12:40:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_OK_172,2026-09-04T12:40:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_PD_125,2026-09-04T12:44:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_PD_125,2026-09-04T12:44:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_BT_114,2026-09-04T12:53:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_BT_114,2026-09-04T12:53:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_LD_146,2026-09-04T13:07:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_LD_146,2026-09-04T13:07:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_GF_154,2026-09-04T13:15:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request received
TXN_GF_154,2026-09-04T13:15:03.000Z,VALIDATION_FAILED,GW_KYC_INCOMPLETE,Merchant KYC record incomplete
TXN_OK_166,2026-09-04T14:16:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_OK_166,2026-09-04T14:16:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_BT_110,2026-09-04T14:47:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_BT_110,2026-09-04T14:47:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_BT_116,2026-09-04T14:49:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_BT_116,2026-09-04T14:49:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_BT_117,2026-09-04T15:00:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_BT_117,2026-09-04T15:00:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_PD_136,2026-09-04T16:33:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_PD_136,2026-09-04T16:33:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_OK_159,2026-09-04T16:41:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
TXN_OK_159,2026-09-04T16:41:01.000Z,HANDOFF_TO_BANK,GW_OK,Forwarded to settlement bank
TXN_OK_163,2026-09-04T16:51:00.000Z,REQUEST_ACCEPTED,GW_OK,Payout request validated
