transaction_id,timestamp,event,code,detail
TXN_OK_162,2026-09-03T08:21:20.000Z,SETTLEMENT_RECORDED,,Settlement posted to ledger
TXN_OK_162,2026-09-03T08:21:45.000Z,RECONCILED,,Matched against bank statement
TXN_LD_138,2026-09-03T11:10:17.000Z,SETTLEMENT_RECORDED,,Settlement posted to ledger (delayed batch)
TXN_LD_138,2026-09-03T11:10:42.000Z,RECONCILED,,Matched against bank statement
TXN_PD_130,2026-09-03T11:59:19.000Z,SETTLEMENT_RECORDED,,Settlement posted to ledger
TXN_PD_130,2026-09-03T11:59:45.000Z,RECONCILED,,Matched against bank statement
TXN_BT_112,2026-09-03T15:08:40.000Z,SETTLEMENT_RECORDED,,Settlement posted to ledger
TXN_BT_112,2026-09-03T15:09:09.000Z,RECONCILED,,Matched against bank statement
TXN_BT_108,2026-09-03T15:10:02.000Z,SETTLEMENT_RECORDED,,Settlement posted to ledger
TXN_BT_108,2026-09-03T15:10:31.000Z,RECONCILED,,Matched against bank statement
TXN_LD_144,2026-09-03T15:46:13.000Z,SETTLEMENT_RECORDED,,Settlement posted to ledger (delayed batch)
TXN_LD_144,2026-09-03T15:46:38.000Z,RECONCILED,,Matched against bank statement
TXN_BT_120,2026-09-03T17:12:35.000Z,SETTLEMENT_RECORDED,,Settlement posted to ledger
TXN_BT_120,2026-09-03T17:13:04.000Z,RECONCILED,,Matched against bank statement
TXN_OK_160,2026-09-03T17:32:50.000Z,SETTLEMENT_RECORDED,,Settlement posted to ledger
TXN_OK_160,2026-09-03T17:33:15.000Z,RECONCILED,,Matched against bank statement
TXN_BT_113,2026-09-03T19:26:04.000Z,SETTLEMENT_RECORDED,,Settlement posted to ledger
TXN_BT_113,2026-09-03T19:26:33.000Z,RECONCILED,,Matched against bank statement
TXN_BT_105,2026-09-03T20:26:49.000Z,SETTLEMENT_RECORDED,,Settlement posted to ledger
TXN_BT_105,2026-09-03T20:27:18.000Z,RECONCILED,,Matched against bank statement
TXN_LD_143,2026-09-03T20:28:17.000Z,SETTLEMENT_RECORDED,,Settlement posted to ledger (delayed batch)
TXN_LD_143,2026-09-03T20:28:42.000Z,RECONCILED,,Matched against bank statement
TXN_LD_140,2026-09-03T20:36:02.000Z,SETTLEMENT_RECORDED,,Settlement posted to ledger (delayed batch)
TXN_LD_140,2026-09-03T20:36:27.000Z,RECONCILED,,Matched against bank statement
TXN_PD_127,2026-09-03T20:54:39.000Z,SETTLEMENT_RECORDED,,Settlement posted to ledger
TXN_PD_127,2026-09-03T20:55:05.000Z,RECONCILED,,Matched against bank statement
TXN_OK_176,2026-09-03T20:56:12.000Z,SETTLEMENT_RECORDED,,Settlement posted to ledger
TXN_OK_176,2026-09-03T20:56:37.000Z,RECONCILED,,Matched against bank statement
TXN_BT_101,2026-09-03T21:32:26.000Z,SETTLEMENT_RECORDED,,Settlement posted to ledger
TXN_BT_101,2026-09-03T21:32:55.000Z,RECONCILED,,Matched against bank statement
TXN_OK_181,2026-09-03T22:23:33.000Z,SETTLEMENT_RECORDED,,Settlement posted to ledger
TXN_OK_181,2026-09-03T22:23:58.000Z,RECONCILED,,Matched against bank statement
TXN_LD_145,2026-09-03T22:48:58.000Z,SETTLEMENT_RECORDED,,Settlement posted to ledger (delayed batch)
TXN_LD_145,2026-09-03T22:49:23.000Z,RECONCILED,,Matched against bank statement
TXN_LD_141,2026-09-03T22:49:51.000Z,SETTLEMENT_RECORDED,,Settlement posted to ledger (delayed batch)
TXN_LD_141,2026-09-03T22:50:16.000Z,RECONCILED,,Matched against bank statement
TXN_PD_129,2026-09-03T23:33:52.000Z,SETTLEMENT_RECORDED,,Settlement posted to ledger
TXN_PD_129,2026-09-03T23:34:18.000Z,RECONCILED,,Matched against bank statement
TXN_BT_106,2026-09-03T23:39:04.000Z,SETTLEMENT_RECORDED,,Settlement posted to ledger
TXN_BT_106,2026-09-03T23:39:33.000Z,RECONCILED,,Matched against bank statement
TXN_OK_175,2026-09-04T00:24:15.000Z,SETTLEMENT_RECORDED,,Settlement posted to ledger
TXN_OK_175,2026-09-04T00:24:40.000Z,RECONCILED,,Matched against bank statement
TXN_PD_132,2026-09-04T01:18:45.000Z,SETTLEMENT_RECORDED,,Settlement posted to ledger
TXN_PD_132,2026-09-04T01:19:11.000Z,RECONCILED,,Matched against bank statement
TXN_OK_173,2026-09-04T01:38:03.000Z,SETTLEMENT_RECORDED,,Settlement posted to ledger
TXN_OK_173,2026-09-04T01:38:28.000Z,RECONCILED,,Matched against bank statement
TXN_PD_137,2026-09-04T02:00:51.000Z,REVERSAL_RECORDED,,Amount returned to source balance
TXN_BT_103,2026-09-04T04:16:05.000Z,SETTLEMENT_RECORDED,,Settlement posted to ledger
TXN_BT_103,2026-09-04T04:16:34.000Z,RECONCILED,,Matched against bank statement
TXN_BT_121,2026-09-04T04:27:50.000Z,SETTLEMENT_RECORDED,,Settlement posted to ledger
TXN_BT_121,2026-09-04T04:28:19.000Z,RECONCILED,,Matched against bank statement
TXN_BT_102,2026-09-04T06:13:27.000Z,SETTLEMENT_RECORDED,,Settlement posted to ledger
TXN_BT_102,2026-09-04T06:13:56.000Z,RECONCILED,,Matched against bank statement
TXN_BT_123,2026-09-04T07:29:55.000Z,REVERSAL_RECORDED,,Amount returned to source balance
TXN_OK_177,2026-09-04T07:55:45.000Z,SETTLEMENT_RECORDED,,Settlement posted to ledger
TXN_OK_177,2026-09-04T07:56:10.000Z,RECONCILED,,Matched against bank statement
TXN_PD_135,2026-09-04T08:22:27.000Z,SETTLEMENT_RECORDED,,Settlement posted to ledger
TXN_PD_135,2026-09-04T08:22:53.000Z,RECONCILED,,Matched against bank statement
TXN_BT_119,2026-09-04T09:25:57.000Z,SETTLEMENT_RECORDED,,Settlement posted to ledger
TXN_BT_119,2026-09-04T09:26:26.000Z,RECONCILED,,Matched against bank statement
TXN_BT_118,2026-09-04T10:47:48.000Z,SETTLEMENT_RECORDED,,Settlement posted to ledger
TXN_BT_118,2026-09-04T10:48:17.000Z,RECONCILED,,Matched against bank statement
TXN_OK_164,2026-09-04T10:52:23.000Z,SETTLEMENT_RECORDED,,Settlement posted to ledger
